Reference	Family	Scientific name	Vernacular name	Native/Exotic	Habit	Flowering (month)	Syndrome	Other usages	photo (book)	photo (internet)	Pollinator quoted	Pollinator species quoted	References about pollinator 
P. B. Cavalcante	Curcubitaceae	Citrullus lanatus (Thunb.) Matsum. & Nakai	Melancia	Exotic	Liana	9 to 10	Mellitophily		no	no			
P. B. Cavalcante	Rutaceae	Citrus spp.	Citrus 	Exotic	Tree		Mellitophily		no	yes			
P. B. Cavalcante	Crisobalanaceae	Couepia bracteosa Benth.	Pajurá	Native	Tree	4 to 7	Mellitophily		no	yes			
P. B. Cavalcante	Crisobalanaceae	Couepia edulis (Prance) Prance	Castanha-de-Cutia	Native	Tree	2 to 3	Mellitophily		no	no			
P. B. Cavalcante	Crisobalanaceae	Couepia longipendula Pilger 	Castanha-de-Galinha	Native	Tree	9 to 11	Mellitophily		yes	yes	bat	no species quoted	SILVA, S. 2013. Árvores Nativas do Brasil. São Paulo. Editora Europa.
P. B. Cavalcante	Crisobalanaceae	Couepia paraensis (Mart. & Zucc.) Benth.	Pirauxi	Native	Tree	7 to 11	Mellitophily		yes	yes			
P. B. Cavalcante	Crisobalanaceae	Couepia subcordata Benth. Ex Hook.f.	Umarirana 	Native	Tree	1 to 3	Mellitophily		no	no			
P. B. Cavalcante	Apocynaceae	Couma guianensis Aubl.	Sorva	Native	Tree	6 to 8	Mellitophily	Medicinal	no	yes			
P. B. Cavalcante	Apocynaceae	Couma macrocarpa Barb. Rodr.	Sorva-Grande	Native	Tree	7 to 9	Mellitophily		no	yes			
P. B. Cavalcante	Apocynaceae	Couma utilis (Mart.) Muell. Arg.	Sorvinha 	Native	Tree	2 to 6	Phalenophily 		no	no			
